control_id,family,nist_req_id,title,classification,pilot_status,pilot_status_basis,owner_role,implementation_domain,responsibility,inheritance_source,evidence_location,evidence_regeneration,auditor_requirement
AC.L2-3.1.19,AC,3.1.19,Encrypt CUI on mobile devices,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.19\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.19\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.2,AC,3.1.2,Limit access to transactions/functions,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.2\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.2\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.20,AC,3.1.20,Verify external systems,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.20\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.20\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.21,AC,3.1.21,Limit portable storage,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.21\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,"Show: Terminal Services policy snapshot (rdp-policy.txt, rdp-tcp.txt) — supports no-redirection/no-portable-storage posture. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.21\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has..."
AC.L2-3.1.22,AC,3.1.22,Control CUI on public systems,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.22\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.22\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.3,AC,3.1.3,Control flow of CUI,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.3\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,"Show: Terminal Services policy snapshot (rdp-policy.txt, rdp-tcp.txt) — supports session/egress posture. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.3\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has..."
AC.L2-3.1.4,AC,3.1.4,Separate duties,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,Compliance Officer,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\AC.L2-3.1.4\,Version-controlled docs + approval record,Show: Policy/SOP records supporting AC 3.1.4. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\AC.L2-3.1.4\. Regenerate: Version-controlled docs + approval record
AC.L2-3.1.5,AC,3.1.5,Least privilege,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.5\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.5\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.6,AC,3.1.6,Non-privileged accounts,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.6\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.6\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.7,AC,3.1.7,Prevent privileged function execution,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Access path is VM+Azure+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.7\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.7\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AC.L2-3.1.8,AC,3.1.8,Limit unsuccessful logon attempts,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.8\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:\hardening\codex-scripts\Test-CuiHardening.ps1; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.8\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:...
AC.L2-3.1.9,AC,3.1.9,Privacy/security notices,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.9\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AC.L2-3.1.9\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
AT.L2-3.2.1,AT,3.2.1,Security awareness,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,Compliance Officer,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\AT.L2-3.2.1\,Export training roster/log; hash; store,Show: Training completion log + annual re-acknowledgement records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\AT.L2-3.2.1\. Regenerate: Export training roster/log; hash; store
AT.L2-3.2.2,AT,3.2.2,Security training,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,Compliance Officer,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\AT.L2-3.2.2\,Export training roster/log; hash; store,Show: Training completion log + annual re-acknowledgement records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\AT.L2-3.2.2\. Regenerate: Export training roster/log; hash; store
AT.L2-3.2.3,AT,3.2.3,Insider threat awareness,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,Compliance Officer,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\AT.L2-3.2.3\,Export training roster/log; hash; store,Show: Training completion log + annual re-acknowledgement records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\AT.L2-3.2.3\. Regenerate: Export training roster/log; hash; store
AU.L2-3.3.1,AU,3.3.1,Create and retain audit logs,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.1\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,"Show: Windows Event Log configuration + audit policy snapshot (eventlog-*.txt, auditpol.txt). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.1\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has..."
AU.L2-3.3.2,AU,3.3.2,Unique user traceability,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.2\,Export config + query outputs; hash; store,Show: Central logging config + sample queries + retention proof. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.2\. Regenerate: Export config + query outputs; hash; store
AU.L2-3.3.3,AU,3.3.3,Review and update logged events,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,Compliance Officer,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\AU.L2-3.3.3\,Version-controlled docs + approval record,Show: Policy/SOP records supporting AU 3.3.3. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\AU.L2-3.3.3\. Regenerate: Version-controlled docs + approval record
AU.L2-3.3.4,AU,3.3.4,Alert on audit logging failure,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.4\,Export config + query outputs; hash; store,Show: Central logging config + sample queries + retention proof. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.4\. Regenerate: Export config + query outputs; hash; store
AU.L2-3.3.5,AU,3.3.5,Correlate audit records,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.5\,Export config + query outputs; hash; store,Show: Central logging config + sample queries + retention proof. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.5\. Regenerate: Export config + query outputs; hash; store
AU.L2-3.3.6,AU,3.3.6,Audit record reduction/reporting,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.6\,Export config + query outputs; hash; store,Show: Central logging config + sample queries + retention proof. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.6\. Regenerate: Export config + query outputs; hash; store
AU.L2-3.3.7,AU,3.3.7,System clock synchronization,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.7\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,Show: Time synchronization status/config snapshot (time-sync.txt). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.7\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has...
AU.L2-3.3.8,AU,3.3.8,Protect audit information,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.8\,Export config + query outputs; hash; store,Show: Central logging config + sample queries + retention proof. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.8\. Regenerate: Export config + query outputs; hash; store
AU.L2-3.3.9,AU,3.3.9,Limit audit logging management,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.9\,Export config + query outputs; hash; store,Show: Central logging config + sample queries + retention proof. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\AU.L2-3.3.9\. Regenerate: Export config + query outputs; hash; store
CA.L2-3.12.1,CA,3.12.1,Periodically assess security controls,Governance / Policy (Class B),Governed (Records Attached),Governance records referenced in evidence index.,ISSO,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\CA.L2-3.12.1\,Run C:\hardening\codex-scripts\Test-CuiHardening.ps1; hash + store,Show: Read-only validation report (validation-report.json/txt) — pilot self-check. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\CA.L2-3.12.1\. Regenerate: Run C:\hardening\codex-scripts\Test-CuiHardening.ps1; hash +...
CA.L2-3.12.2,CA,3.12.2,Develop and implement POA&M,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,ISSO,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\CA.L2-3.12.2\,Publish assessment report + POA&M export; hash; store,Show: Annual control self-assessment report + POA&M tracking log. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\CA.L2-3.12.2\. Regenerate: Publish assessment report + POA&M export; hash; store
CA.L2-3.12.3,CA,3.12.3,Monitor security controls,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,ISSO,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\CA.L2-3.12.3\,Publish assessment report + POA&M export; hash; store,Show: Annual control self-assessment report + POA&M tracking log. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\CA.L2-3.12.3\. Regenerate: Publish assessment report + POA&M export; hash; store
CA.L2-3.12.4,CA,3.12.4,Develop/update SSP,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,ISSO,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\CA.L2-3.12.4\,Publish assessment report + POA&M export; hash; store,Show: Annual control self-assessment report + POA&M tracking log. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\CA.L2-3.12.4\. Regenerate: Publish assessment report + POA&M export; hash; store
CM.L2-3.4.1,CM,3.4.1,Baseline configurations,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.1\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 (includes hardening.log if present); hash + store,"Show: System baseline snapshot + hardening run log + hashes (systeminfo.txt, hardening.log, hashes.sha256.txt). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.1\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 (inc..."
