nist_control_id,cmmc_l2_control_id,nist_family_code,nist_family_full_name,control_title,sprs_weight_1_3_5,sprs_family_per_dod_table,control_bin_pure_technical_pure_governance_hybrid_technical_hybrid_governance,is_hybrid_bin_yes_no,likely_na_boundary_questionnaire_yes_no,os_evidence_lane_collect_cui_evidence_v2_yes_no,os_support_level_STRONG_PARTIAL_na,os_evidence_files_pipe_separated,os_collector_note,azure_fedramp_pe_inheritance_lane_3_10_1_to_3_10_5_yes_no,azure_entra_seven_ui_lane_yes_no,cloud_lane_classification,governance_document_emphasis_heavy_or_ssp_reference,operational_register_ids_pipe_separated,operational_register_entries_required_yes_no,operational_register_cadence_hints_semicolon_separated,intelligence_disposition,intelligence_evidence_lanes_pipe,intelligence_cadence_type,intelligence_policy_doc_required_yes_no,intelligence_register_required_yes_no,intelligence_register_schema_id,intelligence_c3pao_examiner_note,intelligence_conmon_trigger,intelligence_na_rationale,validation_profile_codes_V_Z_C_D_E,validation_summary_for_cmm_c_platform,source_notes
3.1.11,AC.L2-3.1.11,AC,Access Control,Terminate sessions after defined conditions,1,Access Control,pure_technical,no,no,yes,STRONG,network/firewall-rules-summary.txt|network/listening-ports.txt|policy/secpol.cfg,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,control_monitoring,yes,control_monitoring=Weekly/monthly attestations + automated checks,implemented,OS_collector|Governance_manifest,annual,yes,no,,Examiner will check RDP session timeout GPO and ask about disconnected vs logged-off session handling.,RDP session timeout removed or set to unlimited,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.12,AC.L2-3.1.12,AC,Access Control,Monitor and control remote access sessions,5,Access Control,pure_technical,no,no,yes,STRONG,audit/auditpol.txt|network/rdp-policy.txt|network/listening-ports.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,control_monitoring,yes,control_monitoring=Weekly/monthly attestations + automated checks,implemented,OS_collector|Governance_manifest,annual,yes,yes,audit_log_review,Examiner will ask: how do you know who is accessing systems remotely? Can you show me the last 30 days of remote access logs?,Remote access log shows unapproved or unknown connection,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.13,AC.L2-3.1.13,AC,Access Control,Use cryptographic mechanisms for remote access,1,Access Control,pure_technical,no,no,yes,STRONG,network/firewall.txt|network/firewall-rules-summary.txt|crypto/fips.txt|crypto/schannel-protocols.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,yes,azure_entra_7_only,ssp_reference_primary,control_monitoring,yes,control_monitoring=Weekly/monthly attestations + automated checks,implemented,OS_collector,continuous,no,no,,Examiner will check VPN configuration for encryption standards. Will ask if split tunneling is allowed.,VPN configuration changed to allow non-FIPS cipher suites,,V+Z+E,Windows collector + validator (event-driven; schedule per org) · Azure CLI / Entra export (export_azure_evidence.sh; monthly + on change) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.14,AC.L2-3.1.14,AC,Access Control,Route remote access via managed access control points,1,Access Control,pure_technical,no,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,yes,azure_entra_7_only,ssp_reference_primary,control_monitoring,yes,control_monitoring=Weekly/monthly attestations + automated checks,implemented,OS_collector,continuous,no,no,,Examiner will ask: is there any way to access CUI systems without going through the VPN? Will review network diagrams.,New network path created bypassing the VPN gateway,,Z+E,Azure CLI / Entra export (export_azure_evidence.sh; monthly + on change) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.15,AC.L2-3.1.15,AC,Access Control,Authorize remote execution of privileged commands via remote access,1,Access Control,hybrid_governance,yes,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,access_authorization|change_log|termination,yes,"access_authorization=Per request + periodic access reviews (e.g., quarterly); change_log=Per change request/approval/implementation; termination=Per offboarding event (same-day recommended)",partial,OS_collector|Governance_manifest,annual,yes,yes,access_authorization,Examiner will ask: who can authorize remote access? Is there a written request and approval? Can you show it to me for each remote user?,Remote user accessing without written authorization on file,,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.16,AC.L2-3.1.16,AC,Access Control,Authorize wireless access prior to connecting,3,Access Control,hybrid_governance,yes,yes,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,access_authorization|change_log|termination,yes,"access_authorization=Per request + periodic access reviews (e.g., quarterly); change_log=Per change request/approval/implementation; termination=Per offboarding event (same-day recommended)",not_applicable,,na,no,no,,Examiner will verify there truly is no wireless in scope. Will check if any endpoint connects via WiFi to access the CUI Vault.,An endpoint is found connecting to CUI Vault via WiFi,"No wireless infrastructure in the MacTech CUI Vault. All connectivity is wired LAN or VPN. If any endpoint uses WiFi to reach the enclave, this control becomes applicable.",D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.17,AC.L2-3.1.17,AC,Access Control,Protect wireless access using authentication and encryption,3,Access Control,hybrid_governance,yes,yes,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,control_monitoring,yes,control_monitoring=Weekly/monthly attestations + automated checks,not_applicable,,na,no,no,,Same as 3.1.16 — examiner will verify no wireless is in scope.,WiFi-connected endpoint discovered accessing CUI Vault,No wireless infrastructure. See 3.1.16.,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.18,AC.L2-3.1.18,AC,Access Control,Control connection of mobile devices,5,Access Control,hybrid_governance,yes,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,media_access,yes,media_access=Per removable media use/exception approval,not_applicable,Governance_manifest,one_time,no,no,,Examiner will ask: can someone access CUI from their iPhone? Will check Conditional Access policies for mobile device restrictions.,Mobile device found with CUI Vault app access or Conditional Access policy changed,"Mobile devices (iOS, Android) are prohibited from accessing CUI Vault resources. Conditional Access enforces Windows managed devices only.",D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.19,AC.L2-3.1.19,AC,Access Control,Encrypt CUI on mobile devices and mobile computing platforms,3,Access Control,hybrid_governance,yes,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,control_monitoring,yes,control_monitoring=Weekly/monthly attestations + automated checks,not_applicable,,na,no,no,,Examiner verifies no mobile devices in scope.,Mobile device found with CUI,No mobile devices in scope. See 3.1.18.,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.20,AC.L2-3.1.20,AC,Access Control,Verify and control all external system connections,5,Access Control,hybrid_governance,yes,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,access_authorization|change_log,yes,"access_authorization=Per request + periodic access reviews (e.g., quarterly); change_log=Per change request/approval/implementation",partial,OS_collector|Governance_manifest,annual,yes,yes,access_authorization,Examiner will ask: what external systems does your CUI system connect to? Is there a written agreement for each? When were they last reviewed?,New external connection established without documented agreement,,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.21,AC.L2-3.1.21,AC,Access Control,Limit use of portable storage devices,5,Access Control,pure_technical,no,no,yes,STRONG,storage/removable-storage-policies.txt|storage/usbstor.txt|policy/secpol.cfg,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,media_access,yes,media_access=Per removable media use/exception approval,implemented,OS_collector,continuous,no,no,,Examiner will check GPO for USB storage restrictions. Will ask: what happens if someone plugs in a USB drive?,USB storage policy GPO changed or exception granted without documentation,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.1.22,AC.L2-3.1.22,AC,Access Control,Control CUI posted or processed on publicly accessible systems,1,Access Control,hybrid_technical,yes,no,yes,PARTIAL,network/firewall.txt|network/firewall-rules-summary.txt|policy/local-accounts.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,governance_package_heavy,control_monitoring,yes,control_monitoring=Weekly/monthly attestations + automated checks,implemented,OS_collector,continuous,no,no,,Examiner will verify no CUI system has a public IP or is accessible from the internet without VPN.,Public IP assigned to any CUI system resource,,V+D+E,Windows collector + validator (event-driven; schedule per org) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.2.1,AT.L2-3.2.1,AT,Awareness and Training,Ensure personnel are aware of security risks,3,Awareness and Training,pure_governance,no,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,training_completion,yes,training_completion=Per hire + annually (or per policy),partial,Governance_manifest,annual,yes,yes,training_completion,Examiner will ask for the training completion records for every person with access to CUI systems. Will check dates — training must be within 12 months. Policy alone is not sufficient.,User training record shows completion > 12 months ago or no record exists,,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.2.2,AT.L2-3.2.2,AT,Awareness and Training,Train personnel to carry out assigned security responsibilities,3,Awareness and Training,pure_governance,no,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,training_completion,yes,training_completion=Per hire + annually (or per policy),partial,Governance_manifest,annual,yes,yes,training_completion,Examiner will ask specifically: does your training cover insider threat awareness? What topics? Will ask users what insider threat indicators they were trained to recognize.,Training content updated to remove insider threat topics,,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.2.3,AT.L2-3.2.3,AT,Awareness and Training,Provide security awareness training on recognizing threats,5,Awareness and Training,pure_governance,no,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,training_completion,yes,training_completion=Per hire + annually (or per policy),partial,Governance_manifest,annual,yes,yes,training_completion,Examiner will cross-reference the authorized user list against training records. Any user on the access list without a training record is a finding.,User in authorized access register has no training record,,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.3.1,AU.L2-3.3.1,AU,Audit and Accountability,Create and retain system audit logs,5,Audit and Accountability,pure_technical,no,no,yes,STRONG,audit/auditpol.txt|audit/auditpol-subcategories.txt|audit/eventlog-security.txt|audit/eventlog-system.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,yes,azure_entra_7_only,ssp_reference_primary,audit_config,yes,audit_config=On onboarding new log sources; review quarterly,implemented,OS_collector,continuous,no,no,,"Examiner will check auditpol settings. Required categories: Logon/Logoff, Account Management, Policy Change, Privilege Use, System, Object Access, Process Tracking.",Audit policy subcategory disabled or log size reduced,,V+Z+E,Windows collector + validator (event-driven; schedule per org) · Azure CLI / Entra export (export_azure_evidence.sh; monthly + on change) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.3.2,AU.L2-3.3.2,AU,Audit and Accountability,Ensure actions of individual users are traceable,3,Audit and Accountability,pure_technical,no,no,yes,STRONG,audit/auditpol-subcategories.txt|audit/eventlog-security-sample.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,yes,azure_entra_7_only,ssp_reference_primary,audit_config,yes,audit_config=On onboarding new log sources; review quarterly,implemented,OS_collector,continuous,no,yes,audit_log_review,Examiner will ask: are there any shared accounts? How do you correlate audit events to individuals? Will ask to see audit review records.,Shared account discovered or audit review not performed on schedule,,V+Z+E,Windows collector + validator (event-driven; schedule per org) · Azure CLI / Entra export (export_azure_evidence.sh; monthly + on change) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.3.3,AU.L2-3.3.3,AU,Audit and Accountability,Review and update logged events,1,Audit and Accountability,pure_governance,no,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,audit_config,yes,audit_config=On onboarding new log sources; review quarterly,implemented,OS_collector|Governance_manifest,per_event,yes,yes,audit_log_review,Examiner will ask how often logs are reviewed. Will ask to see the review log. Will check if anomalies were investigated.,Log review register shows gap of more than 30 days between reviews,,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.3.4,AU.L2-3.3.4,AU,Audit and Accountability,Alert in the event of an audit logging process failure,1,Audit and Accountability,pure_technical,no,no,yes,STRONG,audit/auditpol.txt|audit/eventlog-security.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,audit_config|incident_log,yes,audit_config=On onboarding new log sources; review quarterly; incident_log=Per incident + exercises/tests,implemented,OS_collector|Azure_Gov_FedRAMP_or_Entra,continuous,no,no,,Examiner will ask: what happens if your audit log stops writing? Will you know? Can you show me the alert configuration?,Azure Monitor alert for audit failure deleted or disabled,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
